image_path,phrase,attempt,used_sampling,success,sanitized_bbox,parsed_bbox,raw_response
base_sample_0,stipes on right,1,False,True,"[0.7, 0.0, 1.0, 1.0]","[0.7, 0.0, 1.0, 1.0]","```json
{
  ""x_min"": 0.7,
  ""y_min"": 0.0,
  ""x_max"": 1.0,
  ""y_max"": 1.0
}
```"
base_sample_1,white cow next to the brown one,1,False,True,"[0.34, 0.44, 0.58, 0.65]","[0.34, 0.44, 0.58, 0.65]","```json
{
  ""x_min"": 0.34,
  ""y_min"": 0.44,
  ""x_max"": 0.58,
  ""y_max"": 0.65
}
```"
base_sample_2,cat,1,False,True,"[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0]","```json
{
  ""x_min"": 0.0,
  ""y_min"": 0.0,
  ""x_max"": 1.0,
  ""y_max"": 1.0
}
```"
base_sample_3,right middle broccoli piece little grave dripping on plate,1,False,True,"[0.78, 0.18, 0.91, 0.45]","[0.78, 0.18, 0.91, 0.45]","```json
{
  ""x_min"": 0.78,
  ""y_min"": 0.18,
  ""x_max"": 0.91,
  ""y_max"": 0.45
}
```"
base_sample_4,MAN,1,False,True,"[0.28, 0.32, 0.68, 0.84]","[0.28, 0.32, 0.68, 0.84]","```json
{
  ""x_min"": 0.28,
  ""y_min"": 0.32,
  ""x_max"": 0.68,
  ""y_max"": 0.84
}
```"
base_sample_5,left big elephant,1,False,True,"[0.07, 0.07, 0.45, 0.85]","[0.07, 0.07, 0.45, 0.85]","```json
{
  ""x_min"": 0.07,
  ""y_min"": 0.07,
  ""x_max"": 0.45,
  ""y_max"": 0.85
}
```"
base_sample_6,whole poster actually,1,False,True,"[0.8, 0.0, 1.0, 0.8]","[0.8, 0.0, 1.0, 0.8]","```json
{
  ""x_min"": 0.8,
  ""y_min"": 0.0,
  ""x_max"": 1.0,
  ""y_max"": 0.8
}
```"
base_sample_7,man in background,1,False,True,"[0.47, 0.0, 0.65, 0.65]","[0.47, 0.0, 0.65, 0.65]","```json
{
  ""x_min"": 0.47,
  ""y_min"": 0.0,
  ""x_max"": 0.65,
  ""y_max"": 0.65
}
```"
base_sample_8,"WHITE COW, FRONT MOST",1,False,True,"[0.34, 0.45, 0.62, 0.72]","[0.34, 0.45, 0.62, 0.72]","```json
{
  ""x_min"": 0.34,
  ""y_min"": 0.45,
  ""x_max"": 0.62,
  ""y_max"": 0.72
}
```"
base_sample_9,blue overalls man,1,False,True,"[0.84, 0.45, 0.95, 0.85]","[0.84, 0.45, 0.95, 0.85]","```json
{
  ""x_min"": 0.84,
  ""y_min"": 0.45,
  ""x_max"": 0.95,
  ""y_max"": 0.85
}
```"
base_sample_10,man sitting,1,False,True,"[0.62, 0.34, 0.78, 0.72]","[0.62, 0.34, 0.78, 0.72]","```json
{
  ""x_min"": 0.62,
  ""y_min"": 0.34,
  ""x_max"": 0.78,
  ""y_max"": 0.72
}
```"
base_sample_11,black laptop,1,False,True,"[0.0, 0.2, 0.6, 0.8]","[0.0, 0.2, 0.6, 0.8]","```json
{
  ""x_min"": 0.0,
  ""y_min"": 0.2,
  ""x_max"": 0.6,
  ""y_max"": 0.8
}
```"
base_sample_12,right full giraffe,1,False,True,"[0.65, 0.25, 0.78, 0.75]","[0.65, 0.25, 0.78, 0.75]","```json
{
  ""x_min"": 0.65,
  ""y_min"": 0.25,
  ""x_max"": 0.78,
  ""y_max"": 0.75
}
```"
base_sample_13,kid back blue shirt,1,False,True,"[0.22, 0.25, 0.5, 0.65]","[0.22, 0.25, 0.5, 0.65]","```json
{
  ""x_min"": 0.22,
  ""y_min"": 0.25,
  ""x_max"": 0.5,
  ""y_max"": 0.65}
```"
base_sample_14,Cat on right,1,False,True,"[0.18, 0.22, 1.0, 0.82]","[0.18, 0.22, 1.0, 0.82]","```json
{
  ""x_min"": 0.18,
  ""y_min"": 0.22,
  ""x_max"": 1.0,
  ""y_max"": 0.82
}
```"
base_sample_15,batter,1,False,True,"[0.34, 0.41, 0.65, 0.82]","[0.34, 0.41, 0.65, 0.82]","```json
{
  ""x_min"": 0.34,
  ""y_min"": 0.41,
  ""x_max"": 0.65,
  ""y_max"": 0.82
}
```"
base_sample_16,man with brown shirt and hand on hip,1,False,True,"[0.22, 0.0, 0.45, 1.0]","[0.22, 0.0, 0.45, 1.0]","```json
{
  ""x_min"": 0.22,
  ""y_min"": 0.0,
  ""x_max"": 0.45,
  ""y_max"": 1.0
}
```"
base_sample_17,"picture of person with glasses, behind the screen",1,False,True,"[0.7, 0.0, 1.0, 0.8]","[0.7, 0.0, 1.0, 0.8]","```json
{
  ""x_min"": 0.7,
  ""y_min"": 0.0,
  ""x_max"": 1.0,
  ""y_max"": 0.8
}
```"
base_sample_18,PIC BEHIND LAPTOP,1,False,True,"[0.4, 0.18, 0.6, 0.38]","[0.4, 0.18, 0.6, 0.38]","```json
{
  ""x_min"": 0.4,
  ""y_min"": 0.18,
  ""x_max"": 0.6,
  ""y_max"": 0.38
}
```"
base_sample_19,second donut in from front middle row,1,False,True,"[0.28, 0.18, 0.45, 0.34]","[0.28, 0.18, 0.45, 0.34]","```json
{
  ""x_min"": 0.28,
  ""y_min"": 0.18,
  ""x_max"": 0.45,
  ""y_max"": 0.34
}
```"
base_sample_20,boy in a red shirt,1,False,True,"[0.18, 0.25, 0.45, 0.65]","[0.18, 0.25, 0.45, 0.65]","```json
{
  ""x_min"": 0.18,
  ""y_min"": 0.25,
  ""x_max"": 0.45,
  ""y_max"": 0.65
}
```"
base_sample_21,left ele,1,False,True,"[0.0, 0.0, 0.5, 1.0]","[0.0, 0.0, 0.5, 1.0]","```json
{
  ""x_min"": 0.0,
  ""y_min"": 0.0,
  ""x_max"": 0.5,
  ""y_max"": 1.0
}
```"
base_sample_22,guy with blue cup,1,False,True,"[0.68, 0.0, 1.0, 1.0]","[0.68, 0.0, 1.0, 1.0]","```json
{
  ""x_min"": 0.68,
  ""y_min"": 0.0,
  ""x_max"": 1.0,
  ""y_max"": 1.0
}
```"
base_sample_23,baby one,1,False,True,"[0.45, 0.25, 0.95, 0.75]","[0.45, 0.25, 0.95, 0.75]","```json
{
  ""x_min"": 0.45,
  ""y_min"": 0.25,
  ""x_max"": 0.95,
  ""y_max"": 0.75
}
```"
base_sample_24,guy in brown shirt with his back to us,1,False,True,"[0.22, 0.0, 0.45, 1.0]","[0.22, 0.0, 0.45, 1.0]","```json
{
  ""x_min"": 0.22,
  ""y_min"": 0.0,
  ""x_max"": 0.45,
  ""y_max"": 1.0
}
```"
base_sample_25,boy in the middle,1,False,True,"[0.22, 0.31, 0.51, 0.65]","[0.22, 0.31, 0.51, 0.65]","```json
{
  ""x_min"": 0.22,
  ""y_min"": 0.31,
  ""x_max"": 0.51,
  ""y_max"": 0.65
}
```"
base_sample_26,broccoli near front with a little sauce on it,1,False,True,"[0.18, 0.18, 0.45, 0.45]","[0.18, 0.18, 0.45, 0.45]","```json
{
  ""x_min"": 0.18,
  ""y_min"": 0.18,
  ""x_max"": 0.45,
  ""y_max"": 0.45
}
```"
base_sample_27,cow in back of other,1,False,True,"[0.0, 0.22, 0.5, 0.82]","[0.0, 0.22, 0.5, 0.82]","```json
{
  ""x_min"": 0.0,
  ""y_min"": 0.22,
  ""x_max"": 0.5,
  ""y_max"": 0.82
}
```"
base_sample_28,batter,1,False,True,"[0.34, 0.41, 0.65, 0.82]","[0.34, 0.41, 0.65, 0.82]","```json
{
  ""x_min"": 0.34,
  ""y_min"": 0.41,
  ""x_max"": 0.65,
  ""y_max"": 0.82
}
```"
base_sample_29,guy petting elephant,1,False,True,"[0.15, 0.25, 0.67, 0.82]","[0.15, 0.25, 0.67, 0.82]","```json
{
  ""x_min"": 0.15,
  ""y_min"": 0.25,
  ""x_max"": 0.67,
  ""y_max"": 0.82
}
```"
base_sample_30,right guy black shirt,1,False,True,"[0.83, 0.38, 1.0, 0.85]","[0.83, 0.38, 1.0, 0.85]","```json
{
  ""x_min"": 0.83,
  ""y_min"": 0.38,
  ""x_max"": 1.0,
  ""y_max"": 0.85
}
```"
base_sample_31,hand on hip,1,False,True,"[0.25, 0.0, 0.45, 0.25]","[0.25, 0.0, 0.45, 0.25]","```json
{
  ""x_min"": 0.25,
  ""y_min"": 0.0,
  ""x_max"": 0.45,
  ""y_max"": 0.25
}
```"
base_sample_32,catcher,1,False,True,"[0.87, 0.5, 1.0, 0.87]","[0.87, 0.5, 1.0, 0.87]","```json
{
  ""x_min"": 0.87,
  ""y_min"": 0.5,
  ""x_max"": 1.0,
  ""y_max"": 0.87
}
```"
base_sample_33,striped shirt of person on right,1,False,True,"[0.7, 0.0, 1.0, 1.0]","[0.7, 0.0, 1.0, 1.0]","```json
{
  ""x_min"": 0.7,
  ""y_min"": 0.0,
  ""x_max"": 1.0,
  ""y_max"": 1.0
}
```"
base_sample_34,far right guy sitting,1,False,True,"[0.78, 0.38, 1.0, 0.85]","[0.78, 0.38, 1.0, 0.85]","```json
{
  ""x_min"": 0.78,
  ""y_min"": 0.38,
  ""x_max"": 1.0,
  ""y_max"": 0.85
}
```"
base_sample_35,far left elephant,1,False,True,"[0.0, 0.0, 0.25, 0.5]","[0.0, 0.0, 0.25, 0.5]","```json
{
  ""x_min"": 0.0,
  ""y_min"": 0.0,
  ""x_max"": 0.25,
  ""y_max"": 0.5
}
```"
base_sample_36,sitting down,1,False,True,"[0.62, 0.22, 0.78, 0.78]","[0.62, 0.22, 0.78, 0.78]","```json
{
  ""x_min"": 0.62,
  ""y_min"": 0.22,
  ""x_max"": 0.78,
  ""y_max"": 0.78
}
```"
