image_path,phrase,attempt,used_sampling,success,sanitized_bbox,parsed_bbox,raw_response
trained_sample_0,stipes on right,1,False,True,"[0.683, 0.002, 1.0, 0.9889]","[0.683, 0.002, 1.0, 0.9889]","{""x_max"":1.0,""x_min"":0.683,""y_max"":0.9889,""y_min"":0.002}"
trained_sample_1,white cow next to the brown one,1,False,True,"[0.3577, 0.4449, 0.642, 0.7989]","[0.3577, 0.4449, 0.642, 0.7989]","{""x_max"":0.642,""x_min"":0.3577,""y_max"":0.7989,""y_min"":0.4449}"
trained_sample_2,cat,1,False,True,"[0.0765, 0.2129, 0.992, 0.8809]","[0.0765, 0.2129, 0.992, 0.8809]","{""x_max"":0.992,""x_min"":0.0765,""y_max"":0.8809,""y_min"":0.2129}"
trained_sample_3,right middle broccoli piece little grave dripping on plate,1,False,True,"[0.6573, 0.5046, 0.8956, 0.781]","[0.6573, 0.5046, 0.8956, 0.781]","{""x_max"":0.8956,""x_min"":0.6573,""y_max"":0.781,""y_min"":0.5046}"
trained_sample_4,MAN,1,False,True,"[0.2406, 0.1862, 0.6676, 0.9888]","[0.2406, 0.1862, 0.6676, 0.9888]","{""x_max"":0.6676,""x_min"":0.2406,""y_max"":0.9888,""y_min"":0.1862}"
trained_sample_5,left big elephant,1,False,True,"[0.0306, 0.042, 0.4555, 0.8506]","[0.0306, 0.042, 0.4555, 0.8506]","{""x_max"":0.4555,""x_min"":0.0306,""y_max"":0.8506,""y_min"":0.042}"
trained_sample_6,whole poster actually,1,False,True,"[0.6474, 0.2749, 1.0, 0.6749]","[0.6474, 0.2749, 1.0, 0.6749]","{""x_max"":1.0,""x_min"":0.6474,""y_max"":0.6749,""y_min"":0.2749}"
trained_sample_7,man in background,1,False,True,"[0.4477, 0.0, 0.652, 0.6502]","[0.4477, 0.0, 0.652, 0.6502]","{""x_max"":0.652,""x_min"":0.4477,""y_max"":0.6502,""y_min"":0.0}"
trained_sample_8,"WHITE COW, FRONT MOST",1,False,True,"[0.3573, 0.444, 0.6502, 0.7984]","[0.3573, 0.444, 0.6502, 0.7984]","{""x_max"":0.6502,""x_min"":0.3573,""y_max"":0.7984,""y_min"":0.444}"
trained_sample_9,blue overalls man,1,False,True,"[0.7875, 0.4172, 0.9375, 0.9114]","[0.7875, 0.4172, 0.9375, 0.9114]","{""x_max"":0.9375,""x_min"":0.7875,""y_max"":0.9114,""y_min"":0.4172}"
trained_sample_10,man sitting,1,False,True,"[0.5506, 0.2729, 0.7909, 0.854]","[0.5506, 0.2729, 0.7909, 0.854]","{""x_max"":0.7909,""x_min"":0.5506,""y_max"":0.854,""y_min"":0.2729}"
trained_sample_11,black laptop,1,False,True,"[0.0315, 0.311, 0.632, 0.9661]","[0.0315, 0.311, 0.632, 0.9661]","{""x_max"":0.632,""x_min"":0.0315,""y_max"":0.9661,""y_min"":0.311}"
trained_sample_12,right full giraffe,1,False,True,"[0.6443, 0.2022, 0.7515, 0.9519]","[0.6443, 0.2022, 0.7515, 0.9519]","{""x_max"":0.7515,""x_min"":0.6443,""y_max"":0.9519,""y_min"":0.2022}"
trained_sample_13,kid back blue shirt,1,False,True,"[0.2102, 0.2342, 0.5192, 0.8289]","[0.2102, 0.2342, 0.5192, 0.8289]","{""x_max"":0.5192,""x_min"":0.2102,""y_max"":0.8289,""y_min"":0.2342}"
